Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"EURAUD, GBPNZD",0.004065597151175918,0.004486613738405376,0.435431709,0.5860854922603345,0.4129145077436245,0.0035991708676016546
"EURAUD, GBPUSD",0.004065597151175918,0.004008065275354046,-0.480726336,0.49469406186140585,0.5043059381438042,0.0020547704440676937
"EURAUD, NZDCAD",0.004065597151175918,0.004623473598561431,0.055854,0.567119100582434,0.4318808996118675,0.0031333079465383027
"EURAUD, NZDCHF",0.004065597151175918,0.0053085813137106206,0.081749104,0.6408735726693496,0.3581264281776452,0.0033485876383047364
"EURAUD, NZDJPY",0.004065597151175918,0.006011406094778575,-0.660333125,0.6148175844505731,0.38418241596427405,0.0019894179906853344
"EURAUD, NZDUSD",0.004065597151175918,0.00631840931500294,-0.643291078,0.6300942116670252,0.36890579039576066,0.002076812614186286
"EURAUD, USDCAD",0.004065597151175918,0.00428429729945368,0.489348116,0.5506126774275694,0.44838732257756475,0.003593085207720459
"EURAUD, USDCHF",0.004065597151175918,0.00410165576752468,0.122249035,0.5045125629174526,0.49448743871549294,0.003055816301895328
"EURAUD, USDJPY",0.004065597151175918,0.0032627106971484447,0.086989464,0.38130816119032424,0.6176918388142555,0.002647348760219436
"EURCAD, EURCHF",0.0038823618277154096,0.002256287586533995,0.029892506,0.24563845307457693,0.7533615482036331,0.001973751899921565
"EURCAD, EURGBP",0.0038823618277154096,0.0031450157923897594,0.551266698,0.27447405070268815,0.7245259538384694,0.003000808683110674
"EURCAD, EURJPY",0.0038823618277154096,0.003256026254424975,-0.319669514,0.43334692249693335,0.5656530775087649,0.002059510815051302
"EURCAD, EURNZD",0.0038823618277154096,0.004604539279170059,0.383016639,0.6350701884463745,0.36392981157475457,0.0034716108097511307
"EURCAD, AUDCAD",0.0038823618277154096,0.0039372166273831145,0.5081092,0.5137444239936506,0.48525557601014224,0.0033912991247435575
"EURCAD, AUDCHF",0.0038823618277154096,0.004929714412086799,-0.39659711,0.5840207672304453,0.4149792328482434,0.00237630626654294
"EURCAD, AUDJPY",0.0038823618277154096,0.005240560682396569,-0.551045996,0.5947784726898349,0.40422152731768524,0.0021044204402768407
"EURCAD, AUDNZD",0.0038823618277154096,0.0026594863002857142,0.012695733,0.3168944498573053,0.6821055503932717,0.0022047864845548743
"EURCAD, AUDUSD",0.0038823618277154096,0.005694980352076298,-0.166479629,0.6575660607218942,0.34143393942917993,0.0029403145876932073
"EURCAD, CADCHF",0.0038823618277154096,0.004572709310072677,-0.871912529,0.5430523863291524,0.4559476138073869,0.0010614196303686113
